LABELS;S_13;S_5;S_10;C_13;S_18;S_3;S_2;C_5;C_10;S_12;S_7;C_12;C_2;S_16;C_3;S_6;C_6;C_7;S_15;C_18;S_0;S_1;C_16;S_8;S_19;S_4;C_15;S_9;C_9;S_14;S_17;C_8;C_0;C_14;C_19;C_1;C_4;C_17;S_11;C_11
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.220741578947287;0.0;57.2851584210527;1.1368683772161603e-13;0.0;28.7740999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.896579666318985;1.291499999999992;0.0;1.4610999999999876;9.290820333681035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.30000000000011;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;14.118800000000004;0.0;0.0;3.7943999999999996;0.1767999999999983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.01;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;95.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.376379666319181;6.703199999999811;0.0;0.0;24.999420333681172;14.210999999999832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.0;36.48684890510951;0.0;0.0;0.0;21.673151094890372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.747078758949897;0.0;0.0;7.716411437128585;0.0;0.0;30.78650980392149;0.0;0.0;0.0;0.0
RESOURCE JOB 18;0.0;0.0;11.898399999999995;0.0;0.0;33.10127966631909;1.1127999999999787;19.859200000000016;0.0;0.0;2.238665263157884;0.0;12.570134736842121;0.0;0.0;17.539520333680912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7514999999999965;0.0;0.317300000000003;31.565579666319003;0.0;14.935620333681108;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
